tweet	thumbnail
i lost my irst riend to covid today he wont be the last thats it thats the whole tweet <U+0001F61E> medtwitter<U+0001F1FA>   c dee the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
importantatert   drugs and cosmetic manuacturers in delhi can now manuacture ethanol based sanitizers till th ju	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
who doesnt love a good covid dad joke <U+0001F602><U+0001F637>smmanagn delhi can now manuacture ethanol based sanitizers till th ju	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
update caliornia has distributedmillion n masks we have now orderedmillion new masks  but it isnt enough	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
absolutely shocking to see <U+2066><U+2069> allowing site saety rules or covid at royal liverpool site to be abuse	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
just inished a video meeting with a selection o westminster resident groups volunteering donations groceries lone	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
the government has announced a hardshipfund to help vulnerable households aected by covid pay their council tax	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
people overand people with underlying medical conditions are at higher risk or coronavirus together we can help stop th	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
covid update  todayatam there areadditional positive cases o covid reported bringing the	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
exciting update we got our health canada certiication     well have shields on the way to the ront lines p th	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
i am an emergency physician my increased exposure means that i have chosen to isolate rom my amily to keep them sae	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
papyrus is committed to the health and well being o the community and its sta our teams continue to work on you	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
grocery store shopping <U+0001F6D2> thequestion im seeing is i grocery store sae its necessary but minimize risk <U+0001F4CC>keep tae	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
slaughterhouse workers are testing positive or covid sure theyve been sent home now but wheres the meat they wer	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
the eu is currently ining italy per day until they are able to pay million in eu ines this is the same e	https://cdn.pixabay.com/photo/2014/11/28/09/33/bird-548654_960_720.png
